Trade Date,Display,Shares In Issue,Open Price,Close Price
31/05/2021,BATA,"76,107,600.00",2.60,2.6
31/05/2021,CHIL,"200,039,904.00",5.00,5
01/06/2021,REIZ,"56,460,198.00",0.80,0.8
01/06/2021,ZMFA,"27,090,100.00",4.78,4.78
01/06/2021,ZNCO,"1,443,750,041.28",0.70,0.7
01/06/2021,ZCCM,"160,800,286.00",38.00,38
01/06/2021,ZFCO,"400,000,000.00",1.95,1.95
01/06/2021,BATZ,"212,456,304.00",1.80,1.8
01/06/2021,NATB,"63,000,000.00",9.21,9.21
01/06/2021,PUMA,"500,000,000.00",1.47,1.47
01/06/2021,SHOP,"2,700,000.00",63.01,63.01
01/06/2021,CCAF,"1,625,000,597.00",0.17,0.17
01/06/2021,PMDZ,"100,000,000.00",0.60,0.6
01/06/2021,ATEL,"104,000,000.00",29.48,29.48
01/06/2021,CECZ,"1,625,000,597.00",1.25,1.25
01/06/2021,ZABR,"546,000,000.00",7.23,7.23
01/06/2021,MAFS,"50,000,000.00",2.88,2.88
01/06/2021,ZMBF,"300,579,610.00",1.12,1.12
01/06/2021,SCBL,"1,666,980,000.00",1.34,1.34
01/06/2021,ZSUG,"316,571,385.40",2.56,2.56
01/06/2021,ZMRE,"45,000,000.00",2.80,2.8
01/06/2021,AECI,"20,406,600.00",24.21,24.21
01/06/2021,BATA,"76,107,600.00",2.60,2.6
01/06/2021,CHIL,"200,039,904.00",5.00,5
02/06/2021,REIZ,"56,460,198.00",0.80,0.8
02/06/2021,ZMFA,"27,090,100.00",4.78,4.78
02/06/2021,ZNCO,"1,443,750,041.28",0.70,0.7
02/06/2021,ZCCM,"160,800,286.00",38.00,38
02/06/2021,ZFCO,"400,000,000.00",1.95,1.95
02/06/2021,BATZ,"212,456,304.00",1.80,1.8
02/06/2021,NATB,"63,000,000.00",9.21,9.21
02/06/2021,PUMA,"500,000,000.00",1.47,1.47
02/06/2021,SHOP,"2,700,000.00",63.01,63.01
02/06/2021,CCAF,"1,625,000,597.00",0.17,0.17
02/06/2021,PMDZ,"100,000,000.00",0.60,0.6
02/06/2021,ATEL,"104,000,000.00",29.48,29.48
02/06/2021,CECZ,"1,625,000,597.00",1.25,1.25
02/06/2021,ZABR,"546,000,000.00",7.23,7.23
02/06/2021,MAFS,"50,000,000.00",2.88,2.88
02/06/2021,ZMBF,"300,579,610.00",1.12,1.12
02/06/2021,SCBL,"1,666,980,000.00",1.34,1.34
02/06/2021,ZSUG,"316,571,385.40",2.56,3.2
02/06/2021,ZMRE,"45,000,000.00",2.80,2.8
02/06/2021,AECI,"20,406,600.00",24.21,24.21
02/06/2021,BATA,"76,107,600.00",2.60,2.6
02/06/2021,CHIL,"200,039,904.00",5.00,5
03/06/2021,REIZ,"56,460,198.00",0.80,0.8
03/06/2021,ZMFA,"27,090,100.00",4.78,4.78
03/06/2021,ZNCO,"1,443,750,041.28",0.70,0.7
03/06/2021,ZCCM,"160,800,286.00",38.00,38
03/06/2021,ZFCO,"400,000,000.00",1.95,1.95
03/06/2021,BATZ,"212,456,304.00",1.80,1.8
03/06/2021,NATB,"63,000,000.00",9.21,9.21
03/06/2021,PUMA,"500,000,000.00",1.47,1.47
03/06/2021,SHOP,"2,700,000.00",63.01,63.01
03/06/2021,CCAF,"1,625,000,597.00",0.17,0.17
03/06/2021,PMDZ,"100,000,000.00",0.60,0.6
03/06/2021,ATEL,"104,000,000.00",29.48,29.48
03/06/2021,CECZ,"1,625,000,597.00",1.25,1.26
03/06/2021,ZABR,"546,000,000.00",7.23,7.23
03/06/2021,MAFS,"50,000,000.00",2.88,2.88
03/06/2021,ZMBF,"300,579,610.00",1.12,1.12
03/06/2021,SCBL,"1,666,980,000.00",1.34,1.34
03/06/2021,ZSUG,"316,571,385.40",3.20,3.2
03/06/2021,ZMRE,"45,000,000.00",2.80,2.8
03/06/2021,AECI,"20,406,600.00",24.21,24.21
03/06/2021,BATA,"76,107,600.00",2.60,2.6
03/06/2021,CHIL,"200,039,904.00",5.00,5
04/06/2021,REIZ,"56,460,198.00",0.80,0.8
04/06/2021,ZMFA,"27,090,100.00",4.78,4.78
04/06/2021,ZNCO,"1,443,750,041.28",0.70,0.7
04/06/2021,ZCCM,"160,800,286.00",38.00,38
04/06/2021,ZFCO,"400,000,000.00",1.95,1.95
04/06/2021,BATZ,"212,456,304.00",1.80,1.8
04/06/2021,NATB,"63,000,000.00",9.21,9.21
04/06/2021,PUMA,"500,000,000.00",1.47,1.47
04/06/2021,SHOP,"2,700,000.00",63.01,63.01
04/06/2021,CCAF,"1,625,000,597.00",0.17,0.19
04/06/2021,PMDZ,"100,000,000.00",0.60,0.6
04/06/2021,ATEL,"104,000,000.00",29.48,29.48
04/06/2021,CECZ,"1,625,000,597.00",1.26,1.25
04/06/2021,ZABR,"546,000,000.00",7.23,7.23
04/06/2021,MAFS,"50,000,000.00",2.88,2.88
04/06/2021,ZMBF,"300,579,610.00",1.12,1.12
04/06/2021,SCBL,"1,666,980,000.00",1.34,1.34
04/06/2021,ZSUG,"316,571,385.40",3.20,3.2
04/06/2021,ZMRE,"45,000,000.00",2.80,2.8
04/06/2021,AECI,"20,406,600.00",24.21,24.21
04/06/2021,BATA,"76,107,600.00",2.60,2.6
04/06/2021,CHIL,"200,039,904.00",5.00,5
